candles

open;close;high;low;value;volume;begin;end
567.6;592.76;593.48;565.82;481984061081.23;0;2020-04-01 00:00:00;2020-04-30 00:00:00
574.44;567.5;588.25;525.81;983824596126.7998;0;2020-03-01 00:00:00;2020-03-31 00:00:00
578.5;573.25;588.32;572.44;636171329499.2;0;2020-02-01 00:00:00;2020-02-29 00:00:00
572.05;578.19;580.67;572.05;388480191941.62994;0;2020-01-01 00:00:00;2020-01-31 00:00:00
564.97;571.63;572.97;564.07;344283292544.0201;0;2019-12-01 00:00:00;2019-12-31 00:00:00
561.1;564.55;566.42;560.38;409268113481.31006;0;2019-11-01 00:00:00;2019-11-30 00:00:00
542.12;560.96;563.12;541.9;647333149864.4102;0;2019-10-01 00:00:00;2019-10-31 00:00:00
536.75;542.01;542.32;536.72;383994746620.2899;0;2019-09-01 00:00:00;2019-09-30 00:00:00
528.72;536.42;536.44;526.13;445696009987.32007;0;2019-08-01 00:00:00;2019-08-31 00:00:00
522;528.6;531.41;521.75;359722866148.57;0;2019-07-01 00:00:00;2019-07-31 00:00:00
509.49;521.56;522.37;508.64;452440196417.16;0;2019-06-01 00:00:00;2019-06-30 00:00:00
500.62;509.3;509.58;500.37;290778780569.08;0;2019-05-01 00:00:00;2019-05-31 00:00:00
494.29;500.28;500.28;493.08;336506897109.99;0;2019-04-01 00:00:00;2019-04-30 00:00:00
489.18;493.96;496.68;489.18;242518248524.27002;0;2019-03-01 00:00:00;2019-03-31 00:00:00
489.37;489.04;490.95;484.72;325666311990.25995;0;2019-02-01 00:00:00;2019-02-28 00:00:00
476.87;489.52;489.53;476.87;354903985465.78;0;2019-01-01 00:00:00;2019-01-31 00:00:00
472.93;476.39;476.66;471.85;185584282206.4;0;2018-12-01 00:00:00;2018-12-31 00:00:00
470.73;472.3;472.47;463.91;320291520687.62994;0;2018-11-01 00:00:00;2018-11-30 00:00:00
470.48;470.59;471.98;464.31;384675495223.82996;0;2018-10-01 00:00:00;2018-10-31 00:00:00
464.32;470.13;470.43;452.22;469456734894.64;0;2018-09-01 00:00:00;2018-09-30 00:00:00
480.31;463.92;480.5;462.03;426796033535.98004;0;2018-08-01 00:00:00;2018-08-31 00:00:00
478.43;480.09;483.02;477.82;334761558390.49005;0;2018-07-01 00:00:00;2018-07-31 00:00:00
483.93;477.91;484.93;472.49;558770661148.22;0;2018-06-01 00:00:00;2018-06-30 00:00:00
483.04;483.72;484.39;480.49;393841043420.61993;0;2018-05-01 00:00:00;2018-05-31 00:00:00
486.3;482.82;487.17;472.68;645931156003.94;0;2018-04-01 00:00:00;2018-04-30 00:00:00
482.31;486.04;486.62;481.63;348176508681.89;0;2018-03-01 00:00:00;2018-03-31 00:00:00
474.92;482.41;483.52;474.92;547648796564;0;2018-02-01 00:00:00;2018-02-28 00:00:00
467.14;474.72;474.77;467.08;346153041596.79004;0;2018-01-01 00:00:00;2018-01-31 00:00:00
460.41;466.49;467.14;460.27;274053194203.22995;0;2017-12-01 00:00:00;2017-12-29 00:00:00
457.02;460.31;460.77;455.63;316638620258.52;0;2017-11-01 00:00:00;2017-11-30 00:00:00
452.68;456.85;457.7;452.2;418335088870;0;2017-10-01 00:00:00;2017-10-31 00:00:00
446.67;452.44;453.59;446.67;401721852927;0;2017-09-01 00:00:00;2017-09-29 00:00:00
440.79;446.6;446.6;440.4;260879224916;0;2017-08-01 00:00:00;2017-08-31 00:00:00
439.13;440.68;441.27;436.28;262972888548;0;2017-07-01 00:00:00;2017-07-31 00:00:00
